"","Canopy.W1","Canopy.W2","Max.Height","SA.Leaf","Stem.Volume","Stem.Biomass","SSD","Biomass.Leaf","SLA.Leaf","Root.Biomass","Root.Length","Root.AvgDiam","Root.Volume","SRL","RTD","N.shoot","C.shoot","N.root","C.root"
"Hetvil",22.35,16.15,14.2,1.33333333333333,0.166666666666667,69.8983333333333,484.4625,10.4494444444444,127.826496288889,70.556,157.689316666667,0.30765,0.118,3861.1944858,485.3003628,NA,NA,NA,NA
"Heuric",24.125,14.65,43.35,39.9333333333333,0.4,105.658333333333,260.446944333333,352.713333333333,114.106454666667,204.665,688.878,0.32855,0.52225,4804.618,456.71396515,1.05,44.34,0.86,50.19
"Horjub",2.75,0.2,9.15,0.6445,0.1,67.525,675.25,3.11916666666667,200.205436166667,23.235,162.95505,0.231,0.0675,7233.289915,345.34585,1.08,40.63,0.67,45.9
"Junbal",2.56666666666667,2.03333333333333,38.7666666666667,NA,0.133333333333333,40.7133333333333,338.225,NA,NA,88.0383333333333,80.0397,0.38,0.119333333333333,5688.886113,518.919777333333,NA,NA,NA,NA
"Koemac",6.48666666666667,3.37333333333333,31.7666666666667,1.42083333333333,0.504545454545455,42.054,244.076,12.3445833333333,138.399872425,82.5073333333333,705.33894,0.193826666666667,0.180266666666667,15428.6624024,684.089095766667,1.325,41.7225,0.7325,44.96
"Kralan",43.6666666666667,25.5,24,0.611111111111111,0.333333333333333,111.661666666667,362.191666666667,6.94277777777778,87.2345116333333,124.601666666667,75.4327,0.582333333333333,0.214,649.533973666667,587.798829,NA,NA,NA,NA
"Lacpul",17.8333333333333,12,37.3333333333333,12.7777777777778,1.5,227.1975,152.1700895,62.4883333333333,208.578411333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lactat",12.7714285714286,11.3,49.2857142857143,7.56666666666667,0.9,200.700714285714,216.0662841,39.9922222222222,185.287043333333,28.833,33.428775,0.400225,0.07275,3435.0524175,361.3486175,1.95666666666667,44.5133333333333,0.713333333333333,43.0166666666667
"Latoch",13.4,9.97142857142857,23.7857142857143,16.0571428571429,0.228571428571429,72.1421428571429,463.397619,91.085,187.427642190476,163,67.6603285714286,0.961428571428571,0.433571428571429,249.723027,343.7152715,2.525,45.1,2.16571428571429,43.33
"Latven",55.4,14.1,64.8,43.7333333333333,0.8,200.315,250.39375,308.273333333333,150.557184333333,NA,13.5899,1.516,0.245,NA,NA,4.66,46.18,2.39,42.31
"Litinc",8.5,4.76666666666667,9.33333333333333,NA,0.733333333333333,48.49,164.781666666667,NA,NA,2.325,25.0826,0.146,0.004,10788.2151,581.25,NA,NA,NA,NA
"Lupser",14.5,9,26.5,21.1133333333333,1,188.591666666667,175.261032,166.616666666667,140.798737655556,1.1475,22.966,0.13855,0.0035,26974.95185,457.9166665,NA,NA,NA,NA
"Lygjun",25.5,21.15,15.6,NA,0.65,119.2475,181.49875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Maiste",15.1,5.1,42.1,NA,1.2,282.21,235.175,NA,NA,15.18,135.0715,0.1436,0.022,8897.99078,690,NA,NA,NA,NA
"Medlup",21,4.5,11.5,0.630333333333333,0.2,124.575,622.875,3.22666666666667,192.535222333333,47.485,183.6892,0.255,0.094,3868.36264,505.159575,3.27,43.47,0.85,40.94
"Medsat",10.3125,5.33125,33.80625,2.363,0.23125,34.069375,266.83125,12.4108333333333,217.732079416667,41.3739285714286,158.362553333333,0.246393333333333,0.0698,22592.1345961538,514.577292330769,3.537,42.158,1.008,44.684
"Meloff",10.725,9.625,49.675,2.52333333333333,0.675,175.9925,281.03591275,9.37333333333333,270.934396333333,28.6275,74.7657333333333,0.3041,0.0756666666666667,5060.85741666667,380.689176333333,NA,NA,1.04,54.71
"Monfis",10.7,10,38.86,10.2888888888889,0.7,156.682,253.3776516,60.8411111111111,169.998826888889,192.866666666667,336.027,0.323125,0.25525,3246.39131666667,550.467981,NA,NA,NA,NA
"Muhcus",8.26666666666667,4.86666666666667,29.3,NA,0.1,24.6366666666667,246.366666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Muhric",4.56666666666667,2.7,28.1666666666667,NA,0.1,10.2616666666667,102.616666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Oennut",34.35,17.775,28.65,NA,1.2,303.97625,252.0420455,NA,NA,17.3425,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ortlut",6.875,4.45,24,0.533333333333333,0.3,69.785,213.41875,2.69833333333333,199.635464,37.87,218.41615,0.1747,0.055,7931.80354,467.530864,1.15,42.45,1.19,44.9
"Oxycam",15.62,10.92,27.24,10.675,0.48,98.349,408.332,89.5079166666667,121.132705758333,335.25,37.56588,1.56776,0.5298,334.152487625,525.614668,2.5325,44.0825,1.585,43.7825
"Passmi",11.8333333333333,5.26666666666667,58.6333333333333,NA,0.2,76.965,410.175,NA,NA,80.375,350.2093,0.272933333333333,0.208,4426.01711666667,403.572421,NA,NA,NA,NA
